IBOVESPA - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;117.517,57;110.334,83;115.253,31;;;;;;;;
2;;118.233,81;111.539,80;;;;;;;;;
3;;119.724,72;111.183,95;;;;;;;;;
4;118.854,71;119.260,82;112.690,17;;;;;;;;;
5;119.376,21;120.240,26;115.202,23;117.518,44;;;;;;;;
6;119.100,08;;;117.498,87;;;;;;;;
7;122.385,92;;;117.623,58;;;;;;;;
8;125.076,63;119.696,36;110.611,58;;;;;;;;;
9;;119.471,62;111.330,62;;;;;;;;;
10;;118.435,33;112.776,49;;;;;;;;;
11;123.255,13;119.299,83;114.983,76;;;;;;;;;
12;123.998,00;119.428,72;114.160,40;;;;;;;;;
13;121.933,08;;;;;;;;;;;
14;123.480,52;;;;;;;;;;;
15;120.348,80;;114.850,74;;;;;;;;;
16;;;114.018,78;;;;;;;;;
17;;120.355,79;116.549,44;;;;;;;;;
18;121.241,63;119.198,97;114.835,43;;;;;;;;;
19;120.636,39;118.430,53;116.221,58;;;;;;;;;
20;119.646,40;;;;;;;;;;;
21;118.328,99;;;;;;;;;;;
22;117.380,49;112.667,70;114.978,86;;;;;;;;;
23;;115.227,46;113.261,80;;;;;;;;;
24;;115.667,78;112.064,19;;;;;;;;;
25;;112.256,36;113.749,90;;;;;;;;;
26;116.464,06;110.035,17;114.780,62;;;;;;;;;
27;115.882,30;;;;;;;;;;;
28;118.883,25;;;;;;;;;;;
29;115.067,55;;115.418,72;;;;;;;;;
30;;;116.849,67;;;;;;;;;
31;;;116.633,72;;;;;;;;;
MÍNIMO;115.067,55;110.035,17;110.334,83;115.253,31;;;;;;;;
MÍNIMO;125.076,63;120.355,79;116.849,67;117.623,58;;;;;;;;
